t,spec_uid,uid,suite,task_id,seed,base_idx,w,noise_seed,cluster,is_novel_injection,lifecycle_state,executor,decision_reason,outcome,steps,bc_pool,sigma_k,phi_k,p_ge_tau,tau,wall_s,ledger,episode,cluster_id,cold_start,initial_state_id,episode_seed,observation_noise_seed,perturbation_width,controller,state_before,state_after,B_k_size,training_triggered,training_round,probe_triggered,probe_success_count,probe_failure_count,tau_k,habit_fired,habit_success,teacher_used,teacher_success,demotion,rematuration,transition_to_X,episode_success,VLA_calls,habit_calls,episode_latency,wall_clock_time,policy_version,probe_rounds,ineligible,shadow_jur_score,shadow_jur_q,shadow_jur_accept,aci_fired,aci_fired_fail,aci_empirical_risk,retrain_n,retrain_probe_round,retrain_passed,retrain_train_wall_s,retrain_formation_wall_s,retrain_probe_habit_calls,retrain_bc_pool_at_trigger,ledger_update_source,ledger_update_success
0,c709645f1d7ee25a,c709645f1d7ee25a,libero_goal,4,2,0,0.01,8000000,libero_goal_task4,False,U,vla,unknown_cluster,success,85,1,0,0,0.2,0.8,12.51,operational,0,libero_goal_task4,False,0,90000,8000000,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,11,0,12.514,2026-08-30 23:32:00,0,0,False,5.793,6.268,True,0,0,0.0,,,,,,,,teacher,True
1,bc26456a9173a94a,bc26456a9173a94a,libero_goal,7,2,1,0.01,8000001,libero_goal_task7,False,U,vla,unknown_cluster,success,79,1,0,0,0.2,0.8,4.11,operational,1,libero_goal_task7,False,1,90001,8000001,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,10,0,4.113,2026-08-30 23:32:13,0,0,False,4.958,6.59,True,0,0,0.0,,,,,,,,teacher,True
2,36296e099558a9b0,36296e099558a9b0,libero_goal,0,2,2,0.01,8000002,libero_goal_task0,False,U,vla,unknown_cluster,success,120,1,0,0,0.2,0.8,4.8,operational,2,libero_goal_task0,False,2,90002,8000002,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,4.802,2026-08-30 23:32:18,0,0,False,5.849,6.126,True,0,0,0.0,,,,,,,,teacher,True
3,dbd85a15e31edbe8,dbd85a15e31edbe8,libero_object,5,2,3,0.01,8000003,libero_object_task5,False,U,vla,unknown_cluster,success,122,1,0,0,0.2,0.8,13.46,operational,3,libero_object_task5,False,3,90003,8000003,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,13.462,2026-08-30 23:32:25,0,0,False,4.387,7.184,True,0,0,0.0,,,,,,,,teacher,True
4,c82742e6c55a3ece,c82742e6c55a3ece,libero_object,3,2,4,0.01,8000004,libero_object_task3,False,U,vla,unknown_cluster,success,139,1,0,0,0.2,0.8,5.03,operational,4,libero_object_task3,False,4,90004,8000004,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,18,0,5.029,2026-08-30 23:32:39,0,0,False,6.142,6.318,True,0,0,0.0,,,,,,,,teacher,True
5,b3f106b37a0f10c7,b3f106b37a0f10c7,libero_object,8,2,5,0.01,8000005,libero_object_task8,False,U,vla,unknown_cluster,success,148,1,0,0,0.2,0.8,5.14,operational,5,libero_object_task8,False,5,90005,8000005,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,5.138,2026-08-30 23:32:45,0,0,False,5.149,7.012,True,0,0,0.0,,,,,,,,teacher,True
6,ee2cd0dc50dd8fac,ee2cd0dc50dd8fac,libero_goal,5,2,6,0.01,8000006,libero_goal_task5,False,U,vla,unknown_cluster,success,119,1,0,0,0.2,0.8,13.71,operational,6,libero_goal_task5,False,6,90006,8000006,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,13.706,2026-08-30 23:32:52,0,0,False,4.554,6.344,True,0,0,0.0,,,,,,,,teacher,True
7,14ffdbee75f8c847,14ffdbee75f8c847,libero_object,1,2,7,0.01,8000007,libero_object_task1,False,U,vla,unknown_cluster,success,126,1,0,0,0.2,0.8,12.37,operational,7,libero_object_task1,False,7,90007,8000007,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,12.366,2026-08-30 23:33:08,0,0,False,3.788,6.242,True,0,0,0.0,,,,,,,,teacher,True
8,7cfbc8de31574a25,7cfbc8de31574a25,libero_object,0,2,8,0.01,8000008,libero_object_task0,False,U,vla,unknown_cluster,success,136,1,0,0,0.2,0.8,7.13,operational,8,libero_object_task0,False,8,90008,8000008,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,17,0,7.131,2026-08-30 23:33:21,0,0,False,8.524,7.11,False,0,0,0.0,,,,,,,,teacher,True
9,493ccea1e437073a,493ccea1e437073a,libero_goal,9,2,9,0.01,8000009,libero_goal_task9,False,U,vla,unknown_cluster,success,120,1,0,0,0.2,0.8,13.83,operational,9,libero_goal_task9,False,9,90009,8000009,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,13.833,2026-08-30 23:33:32,0,0,False,5.087,7.553,True,0,0,0.0,,,,,,,,teacher,True
10,65b3b03ff0b084ff,65b3b03ff0b084ff,libero_object,7,2,10,0.01,8000010,libero_object_task7,False,U,vla,unknown_cluster,success,127,1,0,0,0.2,0.8,12.74,operational,10,libero_object_task7,False,10,90010,8000010,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,12.742,2026-08-30 23:33:47,0,0,False,6.705,7.127,True,0,0,0.0,,,,,,,,teacher,True
11,a1d7c62da4190bf6,a1d7c62da4190bf6,libero_object,6,2,11,0.01,8000011,libero_object_task6,False,U,vla,unknown_cluster,success,147,1,0,0,0.2,0.8,5.47,operational,11,libero_object_task6,False,11,90011,8000011,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,5.47,2026-08-30 23:34:01,0,0,False,7.099,7.821,True,0,0,0.0,,,,,,,,teacher,True
12,ab68e0a9eeba50aa,ab68e0a9eeba50aa,libero_object,5,2,12,0.01,8000012,libero_object_task5,False,I,vla,immature,success,123,2,0,0,0.2,0.8,3.77,operational,12,libero_object_task5,False,12,90012,8000012,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.766,2026-08-30 23:34:07,0,0,False,4.315,7.184,True,0,0,0.0,,,,,,,,teacher,True
13,70820f616d3049f0,70820f616d3049f0,libero_object,1,2,13,0.01,8000013,libero_object_task1,False,I,vla,immature,success,127,2,0,0,0.2,0.8,5.03,operational,13,libero_object_task1,False,13,90013,8000013,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,5.028,2026-08-30 23:34:12,0,0,False,4.554,6.242,True,0,0,0.0,,,,,,,,teacher,True
14,ccefc82d2adcf636,ccefc82d2adcf636,libero_10,0,2,14,0.01,8000014,libero_10_task0,False,U,vla,unknown_cluster,success,290,1,0,0,0.2,0.8,20.27,operational,14,libero_10_task0,False,14,90014,8000014,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,37,0,20.274,2026-08-30 23:34:18,0,0,False,5.759,8.231,True,0,0,0.0,,,,,,,,teacher,True
15,7a2e7e8ded1ebc9f,7a2e7e8ded1ebc9f,libero_goal,2,2,15,0.01,8000015,libero_goal_task2,False,U,vla,unknown_cluster,success,100,1,0,0,0.2,0.8,12.24,operational,15,libero_goal_task2,False,15,90015,8000015,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,13,0,12.239,2026-08-30 23:34:40,0,0,False,5.945,7.593,True,0,0,0.0,,,,,,,,teacher,True
16,8af6208e2cb32a70,8af6208e2cb32a70,libero_10,2,2,16,0.01,8000016,libero_10_task2,False,U,vla,unknown_cluster,success,242,1,0,0,0.2,0.8,14.03,operational,16,libero_10_task2,False,16,90016,8000016,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,31,0,14.033,2026-08-30 23:34:53,0,0,False,4.661,7.548,True,0,0,0.0,,,,,,,,teacher,True
17,74494965d7b1b2ca,74494965d7b1b2ca,libero_goal,0,2,17,0.01,8000017,libero_goal_task0,False,I,vla,immature,success,121,2,0,0,0.2,0.8,11.49,operational,17,libero_goal_task0,False,17,90017,8000017,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,11.487,2026-08-30 23:35:07,0,0,False,4.676,6.126,True,0,0,0.0,,,,,,,,teacher,True
18,039896498ca3d5b7,039896498ca3d5b7,libero_spatial,2,2,18,0.01,9000018,libero_spatial_task2,True,U,vla,unknown_cluster,success,97,1,0,0,0.2,0.8,14.24,operational,18,libero_spatial_task2,True,18,100018,9000018,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,13,0,14.237,2026-08-30 23:35:20,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
19,0ccd5f69e76e8548,0ccd5f69e76e8548,libero_goal,8,2,19,0.01,8000019,libero_goal_task8,False,U,vla,unknown_cluster,success,75,1,0,0,0.2,0.8,11.93,operational,19,libero_goal_task8,False,19,90019,8000019,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,10,0,11.932,2026-08-30 23:35:36,0,0,False,5.366,6.892,True,0,0,0.0,,,,,,,,teacher,True
20,79158dc254389f01,79158dc254389f01,libero_goal,2,2,20,0.01,8000020,libero_goal_task2,False,I,vla,immature,success,83,2,0,0,0.2,0.8,4.27,operational,20,libero_goal_task2,False,20,90020,8000020,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,11,0,4.269,2026-08-30 23:35:49,0,0,False,6.876,7.593,True,0,0,0.0,,,,,,,,teacher,True
21,ef4d504546d33289,ef4d504546d33289,libero_goal,6,2,21,0.01,8000021,libero_goal_task6,False,U,vla,unknown_cluster,success,96,1,0,0,0.2,0.8,4.44,operational,21,libero_goal_task6,False,21,90021,8000021,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,4.443,2026-08-30 23:35:55,0,0,False,4.863,6.817,True,0,0,0.0,,,,,,,,teacher,True
22,9b01b8ea600f9b55,9b01b8ea600f9b55,libero_goal,4,2,22,0.01,8000022,libero_goal_task4,False,I,vla,immature,fail,300,1,0,0,0.2,0.8,6.94,operational,22,libero_goal_task4,False,22,90022,8000022,0.01,vla,I,I,1,False,0,False,,,0.8,False,,True,False,False,False,False,False,38,0,6.936,2026-08-30 23:35:59,0,0,False,5.351,6.268,True,0,0,0.0,,,,,,,,teacher,False
23,547fff83a01c4057,547fff83a01c4057,libero_goal,5,2,23,0.01,8000023,libero_goal_task5,False,I,vla,immature,success,124,2,0,0,0.2,0.8,5.09,operational,23,libero_goal_task5,False,23,90023,8000023,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,5.09,2026-08-30 23:36:07,0,0,False,4.522,6.344,True,0,0,0.0,,,,,,,,teacher,True
24,2eeb3f3cd58fcb29,2eeb3f3cd58fcb29,libero_object,8,2,24,0.01,8000024,libero_object_task8,False,I,vla,immature,success,147,2,0,0,0.2,0.8,11.64,operational,24,libero_object_task8,False,24,90024,8000024,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,11.638,2026-08-30 23:36:12,0,0,False,6.338,7.012,True,0,0,0.0,,,,,,,,teacher,True
25,b66f67cb0d5c6fe7,b66f67cb0d5c6fe7,libero_spatial,1,2,25,0.01,8000025,libero_spatial_task1,False,U,vla,unknown_cluster,success,106,1,0,0,0.2,0.8,15.39,operational,25,libero_spatial_task1,False,25,90025,8000025,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,14,0,15.39,2026-08-30 23:36:26,0,0,False,4.727,6.402,True,0,0,0.0,,,,,,,,teacher,True
26,d45b31afd35b5611,d45b31afd35b5611,libero_spatial,7,2,26,0.01,9000026,libero_spatial_task7,True,U,vla,unknown_cluster,success,114,1,0,0,0.2,0.8,5.79,operational,26,libero_spatial_task7,True,26,100026,9000026,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,5.791,2026-08-30 23:36:43,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
27,c130981b70df1795,c130981b70df1795,libero_object,9,2,27,0.01,8000027,libero_object_task9,False,U,vla,unknown_cluster,success,133,1,0,0,0.2,0.8,12.41,operational,27,libero_object_task9,False,27,90027,8000027,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,17,0,12.408,2026-08-30 23:36:50,0,0,False,4.923,6.215,True,0,0,0.0,,,,,,,,teacher,True
28,2e825a37c378ac28,2e825a37c378ac28,libero_spatial,4,2,28,0.01,9000028,libero_spatial_task4,True,U,vla,unknown_cluster,success,130,1,0,0,0.2,0.8,13.68,operational,28,libero_spatial_task4,True,28,100028,9000028,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,17,0,13.682,2026-08-30 23:37:04,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
29,4fb94c6eaa641cee,4fb94c6eaa641cee,libero_goal,2,2,29,0.01,8000029,libero_goal_task2,False,I,vla,immature,success,101,3,0,0,0.2,0.8,12.3,operational,29,libero_goal_task2,False,29,90029,8000029,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,13,0,12.304,2026-08-30 23:37:19,0,0,False,5.831,7.593,True,0,0,0.0,,,,,,,,teacher,True
30,cee820f45ba5ac77,cee820f45ba5ac77,libero_spatial,1,2,30,0.01,8000030,libero_spatial_task1,False,I,vla,immature,success,106,2,0,0,0.2,0.8,13.28,operational,30,libero_spatial_task1,False,30,90030,8000030,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,14,0,13.283,2026-08-30 23:37:33,0,0,False,4.976,6.402,True,0,0,0.0,,,,,,,,teacher,True
31,3c146f39ff7ad7d3,3c146f39ff7ad7d3,libero_goal,3,2,31,0.01,8000031,libero_goal_task3,False,U,vla,unknown_cluster,success,196,1,0,0,0.2,0.8,13.88,operational,31,libero_goal_task3,False,31,90031,8000031,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,25,0,13.879,2026-08-30 23:37:47,0,0,False,5.164,6.157,True,0,0,0.0,,,,,,,,teacher,True
32,f650d91571312a55,f650d91571312a55,libero_goal,6,2,32,0.01,8000032,libero_goal_task6,False,I,vla,immature,success,92,2,0,0,0.2,0.8,4.39,operational,32,libero_goal_task6,False,32,90032,8000032,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,4.393,2026-08-30 23:38:02,0,0,False,6.417,6.817,True,0,0,0.0,,,,,,,,teacher,True
33,756c2dd2d95092a5,756c2dd2d95092a5,libero_goal,9,2,33,0.01,8000033,libero_goal_task9,False,I,vla,immature,success,114,2,0,0,0.2,0.8,4.8,operational,33,libero_goal_task9,False,33,90033,8000033,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,4.796,2026-08-30 23:38:08,0,0,False,4.955,7.553,True,0,0,0.0,,,,,,,,teacher,True
34,7b405a4cb1305a0f,7b405a4cb1305a0f,libero_object,9,2,34,0.01,8000034,libero_object_task9,False,I,vla,immature,success,115,2,0,0,0.2,0.8,12.05,operational,34,libero_object_task9,False,34,90034,8000034,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,12.052,2026-08-30 23:38:14,0,0,False,4.63,6.215,True,0,0,0.0,,,,,,,,teacher,True
35,3eced95cfb173192,3eced95cfb173192,libero_object,3,2,35,0.01,8000035,libero_object_task3,False,I,vla,immature,success,121,2,0,0,0.2,0.8,3.62,operational,35,libero_object_task3,False,35,90035,8000035,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.616,2026-08-30 23:38:26,0,0,False,5.163,6.318,True,0,0,0.0,,,,,,,,teacher,True
36,1742fc5789413c5a,1742fc5789413c5a,libero_spatial,1,2,36,0.01,8000036,libero_spatial_task1,False,I,vla,immature,success,112,3,0,0,0.2,0.8,13.06,operational,36,libero_spatial_task1,False,36,90036,8000036,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,14,0,13.063,2026-08-30 23:38:32,0,0,False,5.028,6.402,True,0,0,0.0,,,,,,,,teacher,True
37,3e6fbb728d8fa228,3e6fbb728d8fa228,libero_10,5,2,37,0.01,8000037,libero_10_task5,False,U,vla,unknown_cluster,success,162,1,0,0,0.2,0.8,14.93,operational,37,libero_10_task5,False,37,90037,8000037,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,21,0,14.929,2026-08-30 23:38:46,0,0,False,4.934,6.98,True,0,0,0.0,,,,,,,,teacher,True
38,0dc52d4571a8324a,0dc52d4571a8324a,libero_goal,6,2,38,0.01,8000038,libero_goal_task6,False,I,vla,immature,success,94,3,0,0,0.2,0.8,12.07,operational,38,libero_goal_task6,False,38,90038,8000038,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,12.069,2026-08-30 23:39:02,0,0,False,6.511,6.817,True,0,0,0.0,,,,,,,,teacher,True
39,42146573551146fa,42146573551146fa,libero_goal,6,2,39,0.01,8000039,libero_goal_task6,False,I,vla,immature,success,92,4,0,0,0.2,0.8,3.18,operational,39,libero_goal_task6,False,39,90039,8000039,0.01,vla,I,I,4,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,3.178,2026-08-30 23:39:14,0,0,False,5.641,6.817,True,0,0,0.0,,,,,,,,teacher,True
40,dbab7d259b3ae9ca,dbab7d259b3ae9ca,libero_spatial,1,2,0,0.01,8000040,libero_spatial_task1,False,I,vla,immature,success,112,4,0,0,0.2,0.8,13.12,operational,40,libero_spatial_task1,False,0,90040,8000040,0.01,vla,I,I,4,False,0,False,,,0.8,False,,True,True,False,False,False,True,14,0,13.121,2026-08-30 23:39:19,0,0,False,5.098,6.402,True,0,0,0.0,,,,,,,,teacher,True
41,99f8555fa32b61a2,99f8555fa32b61a2,libero_spatial,5,2,1,0.01,9000041,libero_spatial_task5,True,U,vla,unknown_cluster,fail,220,0,0,0,0.2,0.8,7.68,operational,41,libero_spatial_task5,True,1,100041,9000041,0.01,vla,U,U,0,False,0,False,,,0.8,False,,True,False,False,False,False,False,28,0,7.679,2026-08-30 23:39:34,0,0,False,,,,0,0,0.0,,,,,,,,teacher,False
42,6902a7e10c44f49c,6902a7e10c44f49c,libero_goal,2,2,2,0.01,8000042,libero_goal_task2,False,I,vla,immature,success,97,4,0,0,0.2,0.8,12.23,operational,42,libero_goal_task2,False,2,90042,8000042,0.01,vla,I,I,4,False,0,False,,,0.8,False,,True,True,False,False,False,True,13,0,12.231,2026-08-30 23:39:43,0,0,False,5.682,7.593,True,0,0,0.0,,,,,,,,teacher,True
43,d76de5f0b1b489ae,d76de5f0b1b489ae,libero_goal,5,2,3,0.01,8000043,libero_goal_task5,False,I,vla,immature,success,113,3,0,0,0.2,0.8,4.86,operational,43,libero_goal_task5,False,3,90043,8000043,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,4.86,2026-08-30 23:39:56,0,0,False,4.855,6.344,True,0,0,0.0,,,,,,,,teacher,True
44,0b6873424e0cb6ff,0b6873424e0cb6ff,libero_goal,0,2,4,0.01,8000044,libero_goal_task0,False,I,vla,immature,success,121,3,0,0,0.2,0.8,3.61,operational,44,libero_goal_task0,False,4,90044,8000044,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.615,2026-08-30 23:40:01,0,0,False,3.955,6.126,True,0,0,0.0,,,,,,,,teacher,True
45,531090bf1f04d6b1,531090bf1f04d6b1,libero_object,2,2,5,0.01,8000045,libero_object_task2,False,U,vla,unknown_cluster,success,113,1,0,0,0.2,0.8,25.95,operational,45,libero_object_task2,False,5,90045,8000045,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,15,0,25.955,2026-08-30 23:40:06,0,0,False,6.987,7.286,True,0,0,0.0,,,,,,,,teacher,True
46,8ac649c10e0cf644,8ac649c10e0cf644,libero_goal,2,2,6,0.01,8000046,libero_goal_task2,False,I,vla,immature,success,92,5,0,0,0.2,0.8,12.17,operational,46,libero_goal_task2,False,6,90046,8000046,0.01,vla,I,I,5,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,12.175,2026-08-30 23:40:33,0,0,False,3.954,7.593,True,0,0,0.0,,,,,,,,teacher,True
47,7fc55fb11c5de615,7fc55fb11c5de615,libero_goal,3,2,7,0.01,8000047,libero_goal_task3,False,I,vla,immature,success,169,2,0,0,0.2,0.8,5.87,operational,47,libero_goal_task3,False,7,90047,8000047,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,22,0,5.867,2026-08-30 23:40:47,0,0,False,5.7,6.157,True,0,0,0.0,,,,,,,,teacher,True
48,488451f81f15bcb4,488451f81f15bcb4,libero_10,0,2,8,0.01,8000048,libero_10_task0,False,I,vla,immature,fail,520,1,0,0,0.2,0.8,21.41,operational,48,libero_10_task0,False,8,90048,8000048,0.01,vla,I,I,1,False,0,False,,,0.8,False,,True,False,False,False,False,False,65,0,21.406,2026-08-30 23:40:54,0,0,False,5.053,8.231,True,0,0,0.0,,,,,,,,teacher,False
49,8b67da82dda45fe2,8b67da82dda45fe2,libero_object,5,2,9,0.01,8000049,libero_object_task5,False,I,vla,immature,success,142,3,0,0,0.2,0.8,11.55,operational,49,libero_object_task5,False,9,90049,8000049,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,18,0,11.548,2026-08-30 23:41:16,0,0,False,5.584,7.184,True,0,0,0.0,,,,,,,,teacher,True
50,6b1156d4e4a29f4b,6b1156d4e4a29f4b,libero_object,6,2,10,0.01,8000050,libero_object_task6,False,I,vla,immature,success,147,2,0,0,0.2,0.8,5.2,operational,50,libero_object_task6,False,10,90050,8000050,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,5.2,2026-08-30 23:41:29,0,0,False,4.535,7.821,True,0,0,0.0,,,,,,,,teacher,True
51,07c2a4330e94158a,07c2a4330e94158a,libero_goal,2,2,11,0.01,8000051,libero_goal_task2,False,I,vla,immature,success,84,6,0,0,0.2,0.8,11.9,operational,51,libero_goal_task2,False,11,90051,8000051,0.01,vla,I,I,6,False,0,False,,,0.8,False,,True,True,False,False,False,True,11,0,11.896,2026-08-30 23:41:35,0,0,False,5.503,7.593,True,0,0,0.0,,,,,,,,teacher,True
52,4a01490118a31bb0,4a01490118a31bb0,libero_object,8,2,12,0.01,8000052,libero_object_task8,False,I,vla,immature,success,140,3,0,0,0.2,0.8,11.23,operational,52,libero_object_task8,False,12,90052,8000052,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,18,0,11.234,2026-08-30 23:41:47,0,0,False,4.782,7.012,True,0,0,0.0,,,,,,,,teacher,True
53,246f35a48cf9c9be,246f35a48cf9c9be,libero_spatial,3,2,13,0.01,9000053,libero_spatial_task3,True,U,vla,unknown_cluster,success,81,1,0,0,0.2,0.8,20.06,operational,53,libero_spatial_task3,True,13,100053,9000053,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,11,0,20.055,2026-08-30 23:42:00,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
54,9b2e758e36c61aca,9b2e758e36c61aca,libero_object,5,2,14,0.01,8000054,libero_object_task5,False,I,vla,immature,success,218,4,0,0,0.2,0.8,12.95,operational,54,libero_object_task5,False,14,90054,8000054,0.01,vla,I,I,4,False,0,False,,,0.8,False,,True,True,False,False,False,True,28,0,12.946,2026-08-30 23:42:20,0,0,False,6.908,7.184,True,0,0,0.0,,,,,,,,teacher,True
55,0da0b681eb2d0d7d,0da0b681eb2d0d7d,libero_spatial,6,2,15,0.01,9000055,libero_spatial_task6,True,U,vla,unknown_cluster,success,105,1,0,0,0.2,0.8,18.83,operational,55,libero_spatial_task6,True,15,100055,9000055,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,14,0,18.828,2026-08-30 23:42:34,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
56,44e37c4f9ca8ecd8,44e37c4f9ca8ecd8,libero_goal,9,2,16,0.01,8000056,libero_goal_task9,False,I,vla,immature,success,129,3,0,0,0.2,0.8,12.79,operational,56,libero_goal_task9,False,16,90056,8000056,0.01,vla,I,I,3,False,0,False,,,0.8,False,,True,True,False,False,False,True,17,0,12.788,2026-08-30 23:42:54,0,0,False,6.217,7.553,True,0,0,0.0,,,,,,,,teacher,True
57,0ac754bbe1a5beb7,0ac754bbe1a5beb7,libero_object,4,2,17,0.01,8000057,libero_object_task4,False,U,vla,unknown_cluster,success,152,1,0,0,0.2,0.8,22.04,operational,57,libero_object_task4,False,17,90057,8000057,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,19,0,22.04,2026-08-30 23:43:08,0,0,False,4.568,6.7,True,0,0,0.0,,,,,,,,teacher,True
58,abc1a88af2b58755,abc1a88af2b58755,libero_10,0,2,18,0.01,8000058,libero_10_task0,False,I,vla,immature,success,380,2,0,0,0.2,0.8,17.77,operational,58,libero_10_task0,False,18,90058,8000058,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,48,0,17.773,2026-08-30 23:43:32,0,0,False,5.817,8.231,True,0,0,0.0,,,,,,,,teacher,True
59,d688ab7a7a07edd4,d688ab7a7a07edd4,libero_object,5,2,19,0.01,8000059,libero_object_task5,False,I,vla,immature,fail,280,4,0,0,0.2,0.8,13.89,operational,59,libero_object_task5,False,19,90059,8000059,0.01,vla,I,I,4,False,0,False,,,0.8,False,,True,False,False,False,False,False,35,0,13.891,2026-08-30 23:43:50,0,0,False,3.867,7.184,True,0,0,0.0,,,,,,,,teacher,False
60,40c84a5f306ade01,40c84a5f306ade01,libero_object,5,2,20,0.01,8000060,libero_object_task5,False,I,vla,immature,success,128,5,0,0,0.2,0.8,3.63,operational,60,libero_object_task5,False,20,90060,8000060,0.01,vla,I,I,5,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.633,2026-08-30 23:44:04,0,0,False,5.101,7.184,True,0,0,0.0,,,,,,,,teacher,True
61,ac46d68f412cc046,ac46d68f412cc046,libero_object,2,2,21,0.01,8000061,libero_object_task2,False,I,vla,immature,success,125,2,0,0,0.2,0.8,4.85,operational,61,libero_object_task2,False,21,90061,8000061,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,16,0,4.849,2026-08-30 23:44:09,0,0,False,5.527,7.286,True,0,0,0.0,,,,,,,,teacher,True
62,38ea7b54f50bc5e6,38ea7b54f50bc5e6,libero_spatial,0,2,22,0.01,8000062,libero_spatial_task0,False,U,vla,unknown_cluster,success,79,1,0,0,0.2,0.8,12.46,operational,62,libero_spatial_task0,False,22,90062,8000062,0.01,vla,U,I,1,False,0,False,,,0.8,False,,True,True,False,False,False,True,10,0,12.461,2026-08-30 23:44:15,0,0,False,4.195,6.735,True,0,0,0.0,,,,,,,,teacher,True
63,17e69624f03bf959,17e69624f03bf959,libero_spatial,2,2,23,0.01,9000063,libero_spatial_task2,True,I,vla,immature,success,92,2,0,0,0.2,0.8,5.21,operational,63,libero_spatial_task2,True,23,100063,9000063,0.01,vla,I,I,2,False,0,False,,,0.8,False,,True,True,False,False,False,True,12,0,5.213,2026-08-30 23:44:29,0,0,False,,,,0,0,0.0,,,,,,,,teacher,True
