t,spec_uid,uid,suite,task_id,seed,base_idx,w,noise_seed,cluster,is_novel_injection,lifecycle_state,executor,decision_reason,outcome,steps,bc_pool,sigma_k,phi_k,p_ge_tau,tau,wall_s,ledger,episode,cluster_id,cold_start,initial_state_id,episode_seed,observation_noise_seed,perturbation_width,controller,state_before,state_after,B_k_size,training_triggered,training_round,probe_triggered,probe_success_count,probe_failure_count,tau_k,habit_fired,habit_success,teacher_used,teacher_success,demotion,rematuration,transition_to_X,episode_success,VLA_calls,habit_calls,episode_latency,wall_clock_time,policy_version,probe_rounds,ineligible,shadow_jur_score,shadow_jur_q,shadow_jur_accept,aci_fired,aci_fired_fail,aci_empirical_risk,retrain_n,retrain_probe_round,retrain_passed,retrain_train_wall_s,retrain_formation_wall_s,retrain_probe_habit_calls,retrain_bc_pool_at_trigger,ledger_update_source,ledger_update_success
2219,dd3c955c2d1eb38e,dd3c955c2d1eb38e,libero_object,2,2,19,0.01,8002219,libero_object_task2,False,M,habit,fire,success,112,20,70.0,3.0,0.9999,0.8,3.99,operational,2219,libero_object_task2,False,19,92219,8002219,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,14,3.994,2026-08-31 10:11:14,1,1,False,4.162,7.286,True,53,3,0.0566,,,,,,,,fire,True
2220,6397847687053422,6397847687053422,libero_object,7,2,20,0.01,8002220,libero_object_task7,False,I,vla,immature,success,124,80,22.0,3.0,0.7932,0.8,13.81,operational,2220,libero_object_task7,False,20,92220,8002220,0.01,vla,I,X,80,True,2,True,18,2,0.8,False,,True,True,False,False,True,True,16,0,13.808,2026-08-31 10:11:19,2,2,True,5.958,7.127,True,0,0,0.0,80,2,False,625.6,681.4,359,80,teacher,True
2221,607dc454cbb794d4,607dc454cbb794d4,libero_goal,1,2,21,0.01,8002221,libero_goal_task1,False,M,habit,fire,fail,300,20,69.0,4.0,0.9989,0.816,5.77,operational,2221,libero_goal_task1,False,21,92221,8002221,0.01,habit,M,M,20,False,1,False,,,0.816,True,False,False,,False,False,False,False,0,38,5.774,2026-08-31 10:22:56,1,1,False,4.94,6.561,True,53,4,0.0755,,,,,,,,fire,False
2222,4b385845a96e7e6c,4b385845a96e7e6c,libero_object,3,2,22,0.01,8002222,libero_object_task3,False,X,vla,habit_ineligible,success,126,85,22.25,2.75,0.8298,0.8,3.69,operational,2222,libero_object_task3,False,22,92222,8002222,0.01,vla,X,X,85,False,2,False,,,0.8,False,,True,True,False,False,False,True,16,0,3.688,2026-08-31 10:23:02,2,2,True,5.743,6.318,True,0,0,0.0,,,,,,,,teacher,True
2223,2376ab7647ad6589,2376ab7647ad6589,libero_goal,0,2,23,0.01,8002223,libero_goal_task0,False,M,habit,fire,success,192,80,24.5,1.5,0.9609,0.8,3.14,operational,2223,libero_goal_task0,False,23,92223,8002223,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,24,3.145,2026-08-31 10:23:05,2,2,False,6.381,6.126,False,1,0,0.0,,,,,,,,fire,True
2224,3ac4cc23d6b411c2,3ac4cc23d6b411c2,libero_spatial,7,2,24,0.01,9002224,libero_spatial_task7,True,I,vla,immature,success,110,27,15.0,5.0,0.2307,0.8,14.25,operational,2224,libero_spatial_task7,True,24,102224,9002224,0.01,vla,I,I,27,False,1,False,,,0.8,False,,True,True,False,False,False,True,14,0,14.254,2026-08-31 10:23:10,1,1,False,,,,0,0,0.0,,,,,,,,teacher,True
2225,bf1976dafc160f4e,bf1976dafc160f4e,libero_goal,6,2,25,0.01,8002225,libero_goal_task6,False,X,vla,habit_ineligible,success,94,86,20.75,4.25,0.568,0.8,12.52,operational,2225,libero_goal_task6,False,25,92225,8002225,0.01,vla,X,X,86,False,2,False,,,0.8,False,,True,True,False,False,False,True,12,0,12.519,2026-08-31 10:23:26,2,2,True,5.317,6.817,True,0,0,0.0,,,,,,,,teacher,True
2226,d441336d2959e842,d441336d2959e842,libero_goal,0,2,26,0.01,8002226,libero_goal_task0,False,M,habit,fire,success,192,80,25.5,1.5,0.9672,0.8,3.19,operational,2226,libero_goal_task0,False,26,92226,8002226,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,24,3.192,2026-08-31 10:23:38,2,2,False,6.886,6.126,False,2,0,0.0,,,,,,,,fire,True
2227,bc11fd95acb7d3b8,bc11fd95acb7d3b8,libero_goal,1,2,27,0.01,8002227,libero_goal_task1,False,M,habit,fire,success,83,20,70.0,4.0,0.9993,0.812,3.7,operational,2227,libero_goal_task1,False,27,92227,8002227,0.01,habit,M,M,20,False,1,False,,,0.812,True,True,False,,False,False,False,True,0,11,3.705,2026-08-31 10:23:43,1,1,False,4.517,6.561,True,54,4,0.0741,,,,,,,,fire,True
2228,ad818f02deb425b2,ad818f02deb425b2,libero_object,5,2,28,0.01,8002228,libero_object_task5,False,M,habit,fire,success,194,80,29.75,1.5,0.9847,0.8,3.17,operational,2228,libero_object_task5,False,28,92228,8002228,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,25,3.166,2026-08-31 10:23:46,2,2,False,5.076,7.184,True,7,1,0.1429,,,,,,,,fire,True
2229,36102b089a735189,36102b089a735189,libero_object,6,2,29,0.01,8002229,libero_object_task6,False,X,vla,habit_ineligible,success,152,87,22.0,3.0,0.7932,0.8,14.72,operational,2229,libero_object_task6,False,29,92229,8002229,0.01,vla,X,X,87,False,2,False,,,0.8,False,,True,True,False,False,False,True,19,0,14.72,2026-08-31 10:23:51,2,2,True,5.01,7.821,True,0,0,0.0,,,,,,,,teacher,True
2230,f948441ea12de6fc,f948441ea12de6fc,libero_object,2,2,30,0.01,8002230,libero_object_task2,False,M,habit,fire,success,111,20,71.0,3.0,0.9999,0.8,3.94,operational,2230,libero_object_task2,False,30,92230,8002230,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,14,3.939,2026-08-31 10:24:07,1,1,False,7.31,7.286,False,54,3,0.0556,,,,,,,,fire,True
2231,83b03ee3c0883c9e,83b03ee3c0883c9e,libero_object,4,2,31,0.01,8002231,libero_object_task4,False,M,habit,fire,success,134,20,72.0,0.0,1.0,0.8,4.1,operational,2231,libero_object_task4,False,31,92231,8002231,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,17,4.096,2026-08-31 10:24:12,1,1,False,5.944,6.7,True,52,0,0.0,,,,,,,,fire,True
2232,933fe580107f8149,933fe580107f8149,libero_object,4,2,32,0.01,8002232,libero_object_task4,False,M,habit,fire,success,137,20,73.0,0.0,1.0,0.8,2.73,operational,2232,libero_object_task4,False,32,92232,8002232,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,18,2.735,2026-08-31 10:24:16,1,1,False,4.533,6.7,True,53,0,0.0,,,,,,,,fire,True
2233,14dbb8a0db554d46,14dbb8a0db554d46,libero_goal,3,2,33,0.01,8002233,libero_goal_task3,False,I,vla,immature,success,187,77,19.0,2.0,0.798,0.816,14.84,operational,2233,libero_goal_task3,False,33,92233,8002233,0.01,vla,I,I,77,False,1,False,,,0.816,False,,True,True,False,False,False,True,24,0,14.839,2026-08-31 10:24:20,1,1,False,5.951,6.157,True,1,1,1.0,,,,,,,,teacher,True
2234,e64fa36665d73163,e64fa36665d73163,libero_10,2,2,34,0.01,8002234,libero_10_task2,False,M,habit,fire,success,239,20,79.0,4.0,0.9999,0.8,3.49,operational,2234,libero_10_task2,False,34,92234,8002234,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,30,3.487,2026-08-31 10:24:36,1,1,False,6.24,7.548,True,63,3,0.0476,,,,,,,,fire,True
2235,12aff1204b132fd9,12aff1204b132fd9,libero_goal,9,2,35,0.01,8002235,libero_goal_task9,False,I,vla,immature,fail,300,70,12.0,8.0,0.0144,0.8,8.34,operational,2235,libero_goal_task9,False,35,92235,8002235,0.01,vla,I,I,70,False,1,False,,,0.8,False,,True,False,False,False,False,False,38,0,8.335,2026-08-31 10:24:41,1,1,False,5.696,7.553,True,0,0,0.0,,,,,,,,teacher,False
2236,5ad5060b3a9a21ed,5ad5060b3a9a21ed,libero_goal,5,2,36,0.01,8002236,libero_goal_task5,False,X,vla,habit_ineligible,success,124,84,22.5,2.5,0.8625,0.8,5.15,operational,2236,libero_goal_task5,False,36,92236,8002236,0.01,vla,X,X,84,False,2,False,,,0.8,False,,True,True,False,False,False,True,16,0,5.151,2026-08-31 10:24:51,2,2,True,4.292,6.344,True,0,0,0.0,,,,,,,,teacher,True
