anchor,sample_idx,ms
act_forward_rgbd,58,3.3391
act_forward_rgbd,59,3.3566
act_forward_rgbd,60,3.3569
act_forward_rgbd,61,3.3544
act_forward_rgbd,62,3.3515
act_forward_rgbd,63,3.3631
act_forward_rgbd,64,3.3473
act_forward_rgbd,65,3.3499
act_forward_rgbd,66,3.359
act_forward_rgbd,67,3.3512
act_forward_rgbd,68,3.3558
act_forward_rgbd,69,3.3584
act_forward_rgbd,70,3.3485
act_forward_rgbd,71,3.3597
act_forward_rgbd,72,3.3535
act_forward_rgbd,73,3.3475
act_forward_rgbd,74,3.3536
act_forward_rgbd,75,3.3566
act_forward_rgbd,76,3.3506
act_forward_rgbd,77,3.3501
act_forward_rgbd,78,3.3506
act_forward_rgbd,79,3.3512
act_forward_rgbd,80,3.3596
act_forward_rgbd,81,3.3444
act_forward_rgbd,82,3.3505
act_forward_rgbd,83,3.3566
act_forward_rgbd,84,3.3813
act_forward_rgbd,85,3.339
act_forward_rgbd,86,3.3606
act_forward_rgbd,87,3.3504
act_forward_rgbd,88,3.3525
act_forward_rgbd,89,3.3525
act_forward_rgbd,90,3.3505
act_forward_rgbd,91,3.3566
act_forward_rgbd,92,3.3503
act_forward_rgbd,93,3.3636
act_forward_rgbd,94,3.356
act_forward_rgbd,95,3.3502
act_forward_rgbd,96,3.3414
act_forward_rgbd,97,3.3508
act_forward_rgbd,98,3.3452
act_forward_rgbd,99,3.3575
gate_path,0,6.0791
gate_path,1,4.8346
gate_path,2,4.6276
gate_path,3,4.4025
gate_path,4,4.3965
gate_path,5,4.5927
gate_path,6,8.1315
gate_path,7,4.5862
gate_path,8,4.6326
gate_path,9,4.6714
gate_path,10,4.635
gate_path,11,4.3525
gate_path,12,4.2801
gate_path,13,4.2792
gate_path,14,4.2816
gate_path,15,4.2885
gate_path,16,4.3041
gate_path,17,4.2841
gate_path,18,4.3202
gate_path,19,4.3088
gate_path,20,4.283
gate_path,21,4.2999
gate_path,22,4.2797
gate_path,23,4.2798
gate_path,24,4.2873
gate_path,25,4.3027
gate_path,26,5.7473
gate_path,27,6.8382
gate_path,28,4.635
gate_path,29,4.5525
gate_path,30,4.567
gate_path,31,4.5457
gate_path,32,4.5531
gate_path,33,4.5913
gate_path,34,4.5892
gate_path,35,4.6196
gate_path,36,4.5786
gate_path,37,4.5559
gate_path,38,4.1596
gate_path,39,4.1112
gate_path,40,4.1382
gate_path,41,4.1344
gate_path,42,4.1218
gate_path,43,4.139
gate_path,44,4.7894
gate_path,45,4.1609
gate_path,46,4.1277
gate_path,47,4.1083
gate_path,48,4.1286
gate_path,49,4.1103
gate_path,50,4.1599
gate_path,51,4.11
gate_path,52,4.1355
gate_path,53,7.886
gate_path,54,4.9721
gate_path,55,4.1279
gate_path,56,4.1543
gate_path,57,4.1268
gate_path,58,4.1394
gate_path,59,4.152
gate_path,60,4.1689
gate_path,61,4.1719
gate_path,62,4.1554
gate_path,63,4.1855
gate_path,64,4.1785
gate_path,65,4.151
gate_path,66,4.1636
gate_path,67,4.1607
gate_path,68,4.1858
gate_path,69,4.1475
gate_path,70,4.1495
gate_path,71,4.1457
gate_path,72,4.1772
gate_path,73,4.1561
gate_path,74,4.148
gate_path,75,4.1558
gate_path,76,4.1435
gate_path,77,4.1563
gate_path,78,4.1792
gate_path,79,4.17
gate_path,80,4.1679
gate_path,81,4.1733
gate_path,82,4.1885
gate_path,83,4.1734
gate_path,84,4.1628
gate_path,85,4.1513
gate_path,86,4.1465
gate_path,87,4.1535
gate_path,88,4.1764
gate_path,89,4.1927
