seed,cluster_id,suite,task_id,cold_start,first_exposure_episode,first_training_episode,second_training_episode,first_maturity_episode,first_X_episode,num_exposures,num_firings,num_failures,num_demotions,num_rematurations,num_retrainings,final_state,final_B_k_size,final_tau,final_sigma_k,final_phi_k
1,libero_object_task6,libero_object,6,0,1,638,2243,,2243,144,0,0,0,0,2,X,143,0.8,22.5,2.5
1,libero_object_task7,libero_object,7,0,11,650,2364,2364,,144,59,3,0,0,2,M,80,0.808,79.5,4.5
1,libero_object_task8,libero_object,8,0,13,422,2373,,2373,144,0,0,0,0,2,X,137,0.8,21.25,3.75
1,libero_object_task9,libero_object,9,0,16,557,2204,2204,,144,61,5,0,0,2,M,80,0.812,79.5,6.5
1,libero_spatial_task0,libero_spatial,0,0,8,571,2415,,2415,144,0,0,0,0,2,X,138,0.8,22.5,2.5
1,libero_spatial_task1,libero_spatial,1,0,14,522,,522,,144,124,4,0,0,1,M,20,0.804,139.0,5.0
1,libero_spatial_task2,libero_spatial,2,1,101,1604,,1604,,50,29,1,0,0,1,M,20,0.8,47.0,2.0
1,libero_spatial_task3,libero_spatial,3,1,6,1530,,1530,,50,12,3,1,0,1,I,36,0.82,29.0,3.0
1,libero_spatial_task4,libero_spatial,4,1,130,1200,,,,50,0,0,0,0,1,I,49,0.8,15.0,5.0
1,libero_spatial_task5,libero_spatial,5,1,240,3251,,,,50,0,0,0,0,1,I,32,0.8,11.0,9.0
1,libero_spatial_task6,libero_spatial,6,1,52,2218,,2218,,50,30,1,0,0,1,M,20,0.8,48.0,2.0
1,libero_spatial_task7,libero_spatial,7,1,26,1529,,,,50,0,0,0,0,1,I,47,0.8,16.0,4.0
1,libero_spatial_task8,libero_spatial,8,1,67,1838,,,,50,0,0,0,0,1,I,43,0.8,15.0,5.0
1,libero_spatial_task9,libero_spatial,9,1,188,1318,,,,50,0,0,0,0,1,I,50,0.8,15.0,5.0
