seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
0,549,libero_object_task9,libero_object,9,False,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
0,559,libero_object_task3,libero_object,3,False,demotion,M,I,20,24.0,2.0,0.816,1,1,,,,,
0,564,libero_goal_task5,libero_goal,5,False,first_training,I,I,20,16.0,4.0,0.8,1,1,20,1,16,4,False
0,589,libero_spatial_task1,libero_spatial,1,False,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
0,603,libero_goal_task3,libero_goal,3,False,first_training,I,I,20,17.0,3.0,0.8,1,1,20,1,17,3,False
0,624,libero_object_task5,libero_object,5,False,first_training,I,I,20,14.0,6.0,0.8,1,1,20,1,14,6,False
0,632,libero_object_task0,libero_object,0,False,first_training,I,I,20,9.0,11.0,0.8,1,1,20,1,9,11,False
0,640,libero_object_task1,libero_object,1,False,first_training,I,I,20,12.0,8.0,0.8,1,1,20,1,12,8,False
0,645,libero_goal_task1,libero_goal,1,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,645,libero_goal_task1,libero_goal,1,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,656,libero_10_task0,libero_10,0,False,first_training,I,I,20,9.0,11.0,0.8,1,1,20,1,9,11,False
0,668,libero_object_task2,libero_object,2,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,668,libero_object_task2,libero_object,2,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,676,libero_object_task6,libero_object,6,False,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
0,743,libero_object_task8,libero_object,8,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,743,libero_object_task8,libero_object,8,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,744,libero_goal_task6,libero_goal,6,False,first_training,I,I,20,16.0,4.0,0.8,1,1,20,1,16,4,False
0,775,libero_10_task2,libero_10,2,False,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
0,775,libero_10_task2,libero_10,2,False,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
0,780,libero_goal_task0,libero_goal,0,False,first_training,I,I,20,12.0,8.0,0.8,1,1,20,1,12,8,False
0,787,libero_10_task5,libero_10,5,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,787,libero_10_task5,libero_10,5,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,891,libero_10_task2,libero_10,2,False,demotion,M,I,20,21.0,2.0,0.816,1,1,,,,,
0,1393,libero_spatial_task8,libero_spatial,8,True,first_training,I,I,20,17.0,3.0,0.8,1,1,20,1,17,3,False
0,1529,libero_spatial_task4,libero_spatial,4,True,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
0,1664,libero_spatial_task9,libero_spatial,9,True,first_training,I,I,20,11.0,9.0,0.8,1,1,20,1,11,9,False
0,1744,libero_spatial_task3,libero_spatial,3,True,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
