metric,seed_or_cluster,old_rgbd,new_rgb,absolute_change,relative_change,source_old,source_new,note
batch.N_star,libero_spatial_task1,20,20,0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,>80은 우측절단 (수치 비교 시 cap=160)
batch.median_N_star,all_standard,20.0,10.0,-10.0,-0.5,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.formable_count,all_standard,24,24,0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.median_N_star,formation_cells,15.0,10.0,-5.0,-0.333333,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.formable_count,formation_cells,22,22,0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,chained_libero_object_task0,0.34,0.42,0.08,0.235294,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,chained_libero_object_task0,0.8,0.98,0.18,0.225,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,chained_libero_object_task5,0.98,0.74,-0.24,-0.244898,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,chained_libero_object_task5,0.98,0.86,-0.12,-0.122449,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_10_task0,0.45,0.2,-0.25,-0.555556,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_10_task0,0.75,0.5,-0.25,-0.333333,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_10_task2,0.9,0.95,0.05,0.055556,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_10_task2,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_10_task5,0.7,0.7,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_10_task5,0.95,0.95,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task0,0.45,0.4,-0.05,-0.111111,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task0,0.85,0.8,-0.05,-0.058824,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task1,0.9,0.95,0.05,0.055556,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task1,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task2,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task2,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task3,0.85,0.9,0.05,0.058824,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task3,0.8,0.9,0.1,0.125,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task4,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task4,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task5,0.9,1.0,0.1,0.111111,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task5,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task6,0.65,0.9,0.25,0.384615,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task6,1.0,0.95,-0.05,-0.05,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task7,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task7,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task8,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task8,0.9,1.0,0.1,0.111111,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_goal_task9,1.0,0.85,-0.15,-0.15,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_goal_task9,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task0,0.2,0.15,-0.05,-0.25,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task0,0.95,0.95,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task1,0.8,0.75,-0.05,-0.0625,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task1,0.75,1.0,0.25,0.333333,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task2,0.95,0.95,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task2,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task3,0.35,0.8,0.45,1.285714,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
